label,Protocol Type,Duration,Rate,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Radius
DDoS-ICMP_Flood,1,64,0.4999768745,441,42,42,42,0,42,83149978.05,0
DDoS-UDP_Flood,17,64,58270.56177,525,50,50,50,0,50,83102353.27,0
DoS-UDP_Flood,16.36,71.64,21483.64911,536.6,50.6,54.2,51.66864379,1.505092359,50.8,83015406.86,2.069019248
DDoS-UDP_Flood,17,64,7470.675702,525,50,50,50,0,50,83123491.06,0
DDoS-ICMP_Flood,1,64,162.6171949,441,42,42,42,0,42,83149567.76,0
DDoS-SYN_Flood,6,64,1.38957214,567,54,54,54,0,54,83093264.34,0
BenignTraffic,6,165.2,13.38627558,568,66,187.6,100.0237698,46.95432334,95.3,0.01188430786,66.40344088
DoS-UDP_Flood,17,64,1.623740352,1911,182,182,182,0,182,83006951.62,0
DoS-TCP_Flood,6,64,37.94788651,567,54,54,54,0,54,82955804.44,0
DoS-UDP_Flood,17,64,21030.68663,525,50,50,50,0,50,83015404.35,0
DDoS-UDP_Flood,17,64,5897.408944,525,50,50,50,0,50,83098711.19,0
DDoS-RSTFINFlood,6,64,256.5715859,567,54,54,54,0,54,83348621.55,0
DoS-UDP_Flood,17,63.94,29095.45432,526.64,49.24,52.4,50.03456135,0.7971205602,50.36,83011729.84,1.130628967
DDoS-PSHACK_Flood,6,64,3.857340256,567,54,54,54,0,54,83331240.34,0
DDoS-UDP_Flood,17,64,36291.44647,525,50,50,50,0,50,83102459.98,0
Mirai-greeth_flood,46.06,62.72,31.07375221,6130.88,506.88,592,585.8124695,21.81342796,581.36,83698525.9,30.92937741
DDoS-SynonymousIP_Flood,6,64,1.617889043,568.44,54,55.44,54.08308256,0.3353046364,54.24,83362345.84,0.47600887
DoS-SYN_Flood,6.05,65.27,1.988350559,746.34,65.22,100.44,70.20615393,10.50985295,70.04,82986299.74,14.88383072
DNS_Spoofing,7.1,83.1,5.72194039,3885.5,66,676.5,252.3259195,238.9175559,230.5,166861490.6,338.4560747
DDoS-SynonymousIP_Flood,5.95,65.91,25.76290509,572.28,54,59.28,54.38714831,1.36366835,54.44,83361355.9,1.931848536
DDoS-RSTFINFlood,6,64,11.74447972,567,54,54,54,0,54,83344011.24,0
DDoS-SynonymousIP_Flood,6,64,1.067306727,567,54,54,54,0,54,83365595.63,0
DDoS-ICMP_Flood,1,64,1.429126235,441,42,42,42,0,42,83150272.13,0
DDoS-PSHACK_Flood,6,64,98.04930162,567,54,54,54,0,54,83313816.07,0
DDoS-PSHACK_Flood,6,64,29.72891519,567,54,54,54,0,54,83331320.26,0
DDoS-SYN_Flood,6.05,63.22,43.70816743,573.15,54,59.19,54.59889151,1.478330882,54.53,83088808.94,2.09420458
DDoS-ICMP_Flood,1,64,26.8891496,441,42,42,42,0,42,83124781.38,0
DoS-SYN_Flood,6.17,74.86,13.16018491,633.48,54,95.24,59.66640873,11.88745672,59.36,82972716.28,16.83370315
Mirai-udpplain,16.56,63.1,1607.008409,5587.18,479,554,536.2069256,30.47387807,535.38,83789014.28,43.14744229
DDoS-SynonymousIP_Flood,6,64,301.1634954,567,54,54,54,0,54,83365546.31,0
DDoS-SynonymousIP_Flood,6.22,65.87,3.114476261,838.12,67.38,325.12,102.3183882,80.48107822,69.14,83365597.83,113.9320236
DDoS-ICMP_Flood,1,64,1.302168012,441,42,42,42,0,42,83150256.78,0
DDoS-ICMP_Flood,1,64,12.18820904,441,42,42,42,0,42,83128173.71,0
DDoS-UDP_Flood,17,64,6199.065828,525,50,50,50,0,50,83098356.57,0
DDoS-ICMP_Flood,1,64,68.35232958,441,42,42,42,0,42,83128165.12,0
DDoS-SynonymousIP_Flood,6.11,64,0.9760455528,569.28,54,56.28,54.16717768,0.5888567876,54.19,83365555.02,0.8342073223
DDoS-RSTFINFlood,6,64,1.460175249,567,54,54,54,0,54,83345155.33,0
DDoS-PSHACK_Flood,6,64,21.05065459,571.56,54,58.56,54.62345752,1.429676997,54.24,83314005.47,2.023685105
DoS-TCP_Flood,6,64,0.4272137367,567,54,54,54,0,54,82946958.9,0
DDoS-ICMP_Flood,1,64,118.3934235,441,42,42,42,0,42,83124655.35,0
DoS-SYN_Flood,6,64,0.466132928,567,54,54,54,0,54,82985579.94,0
DDoS-PSHACK_Flood,6,64,1.847651595,567,54,54,54,0,54,83313883.15,0
DoS-SYN_Flood,6,63.92,0.3542741736,567.6,54,54.36,54.03129825,0.1003144354,54.24,82985347.38,0.1430356811
DoS-UDP_Flood,13.78,94.41,11.11740269,1575.61,124.32,220.55,149.1552119,26.50904035,148.72,83011203.61,37.45206939
DDoS-PSHACK_Flood,6,64,30.73707198,567,54,54,54,0,54,83332153.66,0
DoS-UDP_Flood,16.84,66.55,16934.28431,530.52,50,55.52,50.32507467,1.297185128,50.84,83016471.02,1.840854571
DoS-SYN_Flood,6,64,0.4316510014,567,54,54,54,0,54,82973030.66,0
DDoS-PSHACK_Flood,6,64,1.980188222,567,54,54,54,0,54,83330862.97,0
DoS-UDP_Flood,17,64,17552.80965,525,50,50,50,0,50,83016343.7,0
DDoS-PSHACK_Flood,6,64,24.65966949,567,54,54,54,0,54,83330947.16,0
DDoS-SynonymousIP_Flood,6,79.34,44.08682894,809.76,54.8,281.4,81.30768214,67.13617953,69.96,83365607.12,95.05180421
DDoS-PSHACK_Flood,6.05,67.18,0.3590149954,581.62,54.12,67.48,56.02380474,4.106767496,55.06,83331696.75,5.717460716
DoS-UDP_Flood,16.89,65.91,5.626683492,1699.52,159.84,162.68,161.9231579,0.5258358821,161.6,83007913.57,0.6821052632
DDoS-PSHACK_Flood,5.83,62.59,9.82474047,569.32,54,55.76,54.12253087,0.4271820591,55.08,83332034.91,0.5399093917
DDoS-TCP_Flood,6,64,1.990560945,567,54,54,54,0,54,83068522.17,0
DoS-SYN_Flood,6,65.73,0.4378998637,569.8,54,56.8,54.22954793,0.7559784541,54.2,82985354.32,1.070628737
DDoS-RSTFINFlood,6,64,15.13849874,567,54,54,54,0,54,83345001.5,0
DDoS-RSTFINFlood,6,64,3.072489078,567,54,54,54,0,54,83348396.01,0
DDoS-UDP_Flood,17,64,5848.780617,525,50,50,50,0,50,83102278.56,0
DoS-SYN_Flood,6,64,4.015758043,567,54,54,54,0,54,82973142.68,0
DDoS-UDP_Flood,17,64,3837.7073,525,50,50,50,0,50,83123464.38,0
DDoS-UDP_Flood,17,64,4341.967531,525,50,50,50,0,50,83101808.68,0
DoS-UDP_Flood,17,64,20144.4297,525,50,50,50,0,50,83028630.71,0
DDoS-SYN_Flood,6,64,3.449518468,567,54,54,54,0,54,83094338.41,0
Mirai-greeth_flood,47,64,39.42218818,6216,592,592,592,0,592,83681561.92,0
DDoS-ICMP_Flood,12.38,117.85,185.0266918,11961.45,358.29,1853.8,1086.806356,519.3441154,1178.77,83483227.12,733.299991
DDoS-UDP_Flood,17,64,23841.784,525,50,50,50,0,50,83123564.81,0
DDoS-RSTFINFlood,6.11,64.64,34.34380238,568.64,54,55.64,54.08897437,0.3712949204,54.41,83348230.94,0.5281935092
Mirai-greip_flood,47,64,3.661595246,6069,578,578,578,0,578,83581761.38,0
DDoS-TCP_Flood,5.94,63.36,1.997916487,568.02,54,55.02,54.10586438,0.2991349781,54.06,83067296.72,0.4234948694
DDoS-SynonymousIP_Flood,6,64,1.386237691,567,54,54,54,0,54,83361436.58,0
DoS-UDP_Flood,17,64.64,21882.30728,529.51,50,54.51,50.31519628,1.141840394,50.41,83016340.99,1.617909368
DDoS-RSTFINFlood,6.06,65.91,56.32206258,590.32,54,77.32,55.61918598,5.882743435,56.2,83343808.69,8.336106852
DoS-UDP_Flood,16.89,65.73,15553.67416,526.92,50,51.92,50.1407812,0.4958794001,50.16,83012427.64,0.7024903767
Mirai-udpplain,16.83,63.36,1772.030714,5718.2,455.2,549.06,536.2271661,29.4275182,549.06,83707374.67,41.65418508
DDoS-UDP_Flood,17,64,7404.158326,525,50,50,50,0,50,83102287.04,0
DDoS-RSTFINFlood,6,64,0.3291661982,567,54,54,54,0,54,83344520.34,0
DDoS-ICMP_Flood,1,64,2.432213299,441,42,42,42,0,42,83149488.63,0
DDoS-UDP_Fragmentation,16.73,64,160.7399998,9518.53,343.28,1467.92,888.4368719,545.3599006,926.35,83370282.87,771.2283337
DDoS-ICMP_Flood,1,64,7.040319863,441,42,42,42,0,42,83124013.05,0
DDoS-UDP_Flood,17,64,2175.967459,525,50,50,50,0,50,83102148.05,0
DoS-UDP_Flood,16.68,67.82,24718.30323,534,50,54.8,50.63946157,1.394360837,50.8,83011821.55,1.975070376
DDoS-ICMP_Flood,1,64,7.08334173,441,42,42,42,0,42,83124816.09,0
DDoS-RSTFINFlood,5.94,63.36,35.27901118,568.14,54,55.14,54.15586438,0.3574192494,54.06,83348302.59,0.5059212763
DDoS-TCP_Flood,6,64,30.53714802,567,54,54,54,0,54,83034117.75,0
DDoS-TCP_Flood,6,64,213.5864545,567,54,54,54,0,54,83072485.73,0
DDoS-RSTFINFlood,6,64,35.76225028,567,54,54,54,0,54,83343901.68,0
DoS-TCP_Flood,6,64,0.4995445292,567,54,54,54,0,54,82955910.18,0
Recon-OSScan,6,197.7,4.336956025,304.2,54,57.6,54.77666667,1.445659432,57.6,0.001068520546,2.044471175
DDoS-UDP_Flood,17,64.64,1441.730259,528.08,50,53.08,50.1837466,0.7280424925,50.44,83106185.49,1.032937827
DDoS-UDP_Flood,17,64,70751.83156,525,50,50,50,0,50,83102210.05,0
DDoS-RSTFINFlood,6,64,9.590169988,567,54,54,54,0,54,83349382.01,0
DoS-TCP_Flood,6,64,27.33625425,567,54,54,54,0,54,82925803.86,0
DDoS-TCP_Flood,6,64,34.94697094,567,54,54,54,0,54,83037136.43,0
DDoS-RSTFINFlood,6,64,33.69947454,567,54,54,54,0,54,83348242.7,0
DoS-UDP_Flood,17,64,23166.16461,525,50,50,50,0,50,83016010.5,0
Mirai-udpplain,16.84,65.91,805.0087056,5802.48,539.48,554,553.2343743,3.244267726,549.16,83763124.32,4.624720281
DDoS-RSTFINFlood,6,64,6.09541053,567,54,54,54,0,54,83344090.61,0
DDoS-ICMP_Flood,1,64,0,441,42,42,42,0,42,83150702.24,0
DDoS-TCP_Flood,6,65.73,4.251476872,571,54.2,58,54.71954793,1.191397498,54.2,83034149.13,1.686404254
DoS-TCP_Flood,6,64.59,0.4748890987,582.2,54,69.2,55.43868601,4.324941753,54.95,82946578.8,6.123581619
DDoS-SynonymousIP_Flood,6,64,4.297096542,567,54,54,54,0,54,83361057.2,0
DDoS-PSHACK_Flood,6,64,2.18057933,567,54,54,54,0,54,83332150.5,0
DoS-UDP_Flood,17,64,280173.7335,525,50,50,50,0,50,83012437.95,0
DDoS-TCP_Flood,6,64,13400.33227,567,54,54,54,0,54,83067236.34,0
DDoS-RSTFINFlood,6,64,4.027322162,567,54,54,54,0,54,83345110.63,0
DDoS-SYN_Flood,6,64,29.51052017,567,54,54,54,0,54,83089081.75,0
Mirai-greeth_flood,47,64,26.48905842,6216,592,592,592,0,592,83677120.32,0
DDoS-TCP_Flood,6,64,33.27052353,567,54,54,54,0,54,83072065.41,0
DDoS-ICMP_Flood,1,64,81.40012033,441,42,42,42,0,42,83124823.08,0
DDoS-SYN_Flood,6,64,24.88211809,567,54,54,54,0,54,83089863.92,0
DDoS-RSTFINFlood,6,64,1.937722939,567,54,54,54,0,54,83343896.95,0
DoS-UDP_Flood,17,64,18534.98607,525,50,50,50,0,50,83011677.54,0
DDoS-PSHACK_Flood,6,64,1.050423432,567,54,54,54,0,54,83330868.59,0
DDoS-PSHACK_Flood,6,64,1.033010851,567,54,54,54,0,54,83318193.36,0
DDoS-UDP_Flood,17,64,7974.634611,525,50,50,50,0,50,83097826.53,0
DDoS-ICMP_Flood,1,64,1.332925021,441,42,42,42,0,42,83128996.61,0
DDoS-SYN_Flood,6,64,21.38052953,567,54,54,54,0,54,83090053.02,0
DNS_Spoofing,9.3,63.1,47.03606202,5646.2,213.8,1394.9,996.0305556,519.5348708,828.7,0.005565690994,734.7332604
DDoS-TCP_Flood,6,64,31.13993808,567,54,54,54,0,54,83072248.92,0
DDoS-RSTFINFlood,6,64,13.8600618,567,54,54,54,0,54,83344024.31,0
DoS-SYN_Flood,6,64,0.4047677754,567,54,54,54,0,54,82972550.73,0
Mirai-greip_flood,47,64,1.905703805,6069,578,578,578,0,578,83581722.45,0
BenignTraffic,6,97.4,138.2323134,3245.8,56.4,1514.8,413.6952381,513.6564043,933.2,0.001398992538,726.4198533
DDoS-UDP_Flood,17,64,7454.084231,525,50,50,50,0,50,83102060.02,0
DDoS-TCP_Flood,6,64,26.19565374,567,54,54,54,0,54,83072378.99,0
DoS-UDP_Flood,16.68,67.82,14584.83473,528.72,50,53.72,50.35157345,1.017143303,50.48,83011740.04,1.37893297
DDoS-UDP_Flood,17,64,5586.931249,525,50,50,50,0,50,83101938.56,0
DDoS-PSHACK_Flood,6,64,0,567,54,54,54,0,54,83331681.88,0
DDoS-SYN_Flood,6,64,48.67683047,567,54,54,54,0,54,83094027.34,0
DoS-TCP_Flood,6,63.56,0.7710897931,577.35,54,64.35,54.90694036,2.865273484,54.69,82951079.13,4.057331075
Mirai-greeth_flood,47,64,8.310003675,6216,592,592,592,0,592,83681052.25,0
DDoS-ICMP_Flood,1,64,5.188639262,441,42,42,42,0,42,83150190.85,0
DDoS-PSHACK_Flood,6,64,11.87747323,567,54,54,54,0,54,83331259.87,0
DoS-UDP_Flood,17,64,1.477930779,1911,182,182,182,0,182,83007298.46,0
DDoS-ICMP_Flood,1,64,16.79202657,441,42,42,42,0,42,83128393.7,0
DDoS-PSHACK_Flood,6,64,67.55149547,567,54,54,54,0,54,83314881.78,0
DDoS-ICMP_Flood,1,75.46,37.73858432,461.16,42.56,53.2,44.86280175,4.171626005,43.12,83128573.55,5.905028421
DDoS-PSHACK_Flood,6,64,35.78092826,567,54,54,54,0,54,83314862.16,0
Mirai-udpplain,17,64,2639.955179,5817,554,554,554,0,554,83767596.57,0
DDoS-SynonymousIP_Flood,6,64,1076.42859,567,54,54,54,0,54,83365504.46,0
DDoS-SYN_Flood,6,64,26.39029129,567,54,54,54,0,54,83093393.13,0
DDoS-SYN_Flood,6,64,29.81238183,567,54,54,54,0,54,83094044.94,0
DoS-SYN_Flood,6.11,64,0.3966225591,567.48,54,54.48,54.0351953,0.12396985,54.04,82972979.05,0.1756225942
DDoS-ICMP_Flood,1,64,0,441,42,42,42,0,42,99779402.14,0
DDoS-ICMP_Flood,1,64,7358.42807,441,42,42,42,0,42,83149510.03,0
DNS_Spoofing,7.1,74.3,0.3425622353,776.2,90.9,202.3,144.2256746,39.01535075,123.8,0.03022079468,55.17603818
DDoS-RSTFINFlood,6,64,2.176569357,567,54,54,54,0,54,83345090.88,0
DoS-UDP_Flood,17,64,14518.01939,525,50,50,50,0,50,83016670.39,0
DDoS-RSTFINFlood,6,63.77,3.102779329,569.76,54,56.76,54.14973736,0.624862183,54.69,83344463.55,0.8889110276
Recon-OSScan,6,64,65.41221272,297,54,54,54,0,54,1.60E-06,0
DDoS-RSTFINFlood,6,64,1.993853918,567,54,54,54,0,54,83343802.84,0
DoS-UDP_Flood,17,64,2.8088945,1701,162,162,162,0,162,83007930.42,0
DDoS-SYN_Flood,6,64,2.522316129,567,54,54,54,0,54,83089231.33,0
DDoS-SynonymousIP_Flood,6.11,65.91,1.49648517,579.32,54,66.32,54.73498639,2.91216997,55.76,83361033.05,4.131751309
DoS-UDP_Flood,16.57,69.64,4159.800131,535.6,50.32,57.56,51.51473421,2.385503087,50.56,83028538.21,3.376894165
DDoS-RSTFINFlood,6,64,0.4008300231,567,54,54,54,0,54,83348350.81,0
DDoS-TCP_Flood,6,64,1.330253737,567,54,54,54,0,54,83075979.23,0
DDoS-ICMP_Flood,1,64,12.26542754,441,42,42,42,0,42,83128576.3,0
DDoS-PSHACK_Flood,6,64,3.839173713,567,54,54,54,0,54,83314036.33,0
DDoS-UDP_Flood,17,64,6946.770475,525,50,50,50,0,50,83097813.28,0
DoS-UDP_Flood,17,64,16173.61633,525,50,50,50,0,50,83016352.62,0
DDoS-RSTFINFlood,6,64,12.20847798,567,54,54,54,0,54,83340908.58,0
DDoS-SynonymousIP_Flood,6,64,1.692704651,567,54,54,54,0,54,83365396.89,0
DoS-UDP_Flood,16.52,69.73,66465.8125,533,50.4,54.2,51.24909586,1.446852879,50.6,83016454.28,1.986464235
DDoS-PSHACK_Flood,6,64,2.531036746,567,54,54,54,0,54,83331099.21,0
DDoS-UDP_Flood,17,64,341930.9423,525,50,50,50,0,50,83123493.75,0
DDoS-ICMP_Flood,1,64,2.43207732,441,42,42,42,0,42,83149747.68,0
DDoS-TCP_Flood,6,64,0.7809523017,567,54,54,54,0,54,83067366.29,0
DDoS-SYN_Flood,6.11,64,1.511063668,570.8,54,57.8,54.25413313,0.9442910966,54.38,83094045.61,1.33830541
DoS-TCP_Flood,6,64,15.76844547,567,54,54,54,0,54,82925830.35,0
DDoS-ICMP_Flood,1,64,6.919131215,441,42,42,42,0,42,83124080.38,0
DDoS-PSHACK_Flood,6,64,17697.48523,567,54,54,54,0,54,83331092.52,0
DDoS-ICMP_Flood,1,64,32.96462886,441,42,42,42,0,42,83124529.8,0
DDoS-UDP_Flood,17,64,3157.973655,525,50,50,50,0,50,83098760.2,0
DDoS-SynonymousIP_Flood,6,64,6.216150827,567,54,54,54,0,54,83362430.33,0
DDoS-SynonymousIP_Flood,6.11,64,1.678205539,568.02,54,55.02,54.05378363,0.2279031047,54.34,83362539.41,0.3248770446
DoS-SYN_Flood,6,63.84,0.4436125553,569.4,54,56.4,54.1759765,0.6198492501,54.2,82985337.06,0.8781129708
DDoS-SYN_Flood,6,64,27.67672548,567,54,54,54,0,54,83094040.8,0
DDoS-PSHACK_Flood,6,64,0.4921287691,567,54,54,54,0,54,83330973.54,0
DDoS-UDP_Flood,17,64,6162.48386,525,50,50,50,0,50,83123554.41,0
DDoS-SYN_Flood,5.94,63.36,5.956654773,568.14,54,55.14,54.07234348,0.2767763108,54.18,83093444.06,0.3738358232
DDoS-RSTFINFlood,6,64,9.907215752,567,54,54,54,0,54,83348381.98,0
DDoS-ICMP_Flood,1,64,328.4369445,441,42,42,42,0,42,83150183.2,0
Mirai-greip_flood,40.28,72.64,1.742152762,5334.2,378.4,638.26,497.723316,91.40694914,506.34,83646662.07,129.4178458
DDoS-PSHACK_Flood,6,64,26.19238203,567,54,54,54,0,54,83331874.58,0
DDoS-SynonymousIP_Flood,6,64,0.9635753822,567,54,54,54,0,54,83362148.87,0
DDoS-PSHACK_Flood,6,64,8.483288284,567,54,54,54,0,54,83330932.94,0
DDoS-UDP_Flood,17,64,4786.961489,525,50,50,50,0,50,83106362.3,0
DoS-UDP_Flood,17,64,13103.28792,525,50,50,50,0,50,83028627.01,0
DDoS-UDP_Flood,17,64,7978.863343,525,50,50,50,0,50,83098683.19,0
DDoS-UDP_Flood,17,64,7723.053994,525,50,50,50,0,50,83106485.88,0
DDoS-RSTFINFlood,6,64,1.529974837,567,54,54,54,0,54,83344186.57,0
DDoS-PSHACK_Flood,6,64,431.5127572,567,54,54,54,0,54,83331834.79,0
DoS-UDP_Flood,16.2,74.77,8115.607879,551.08,50.76,57.4,53.27332618,2.50605954,51.72,83011846.07,3.4851875
DDoS-ICMP_Flood,1,64,155.2784555,441,42,42,42,0,42,83128039.6,0
DDoS-TCP_Flood,6,64,25.9281051,567,54,54,54,0,54,83034017.52,0
DoS-SYN_Flood,6,64,32.25692928,567,54,54,54,0,54,82981008.85,0
DDoS-RSTFINFlood,6,63.79,2.656777922,571.83,54,58.83,54.28814807,1.141703,54.69,83344753.43,1.61983432
DDoS-SynonymousIP_Flood,6,64,5.31799878,567,54,54,54,0,54,83362521.46,0
DDoS-RSTFINFlood,6,64,3.248306263,567,54,54,54,0,54,83348161.03,0
DDoS-RSTFINFlood,6,64,9.868161135,567,54,54,54,0,54,83340905.14,0
DDoS-UDP_Flood,16.83,63.36,6122.129168,525.2,50,50.2,50.01026316,0.04412418254,50.1,83102300.56,0.06315789474
DDoS-TCP_Flood,6,64,4.900569121,567,54,54,54,0,54,83064239.18,0
DoS-SYN_Flood,6.22,63.65,0.8113592503,567.44,53.48,54.96,54.0301953,0.299384504,54.04,82977520.56,0.4241170454
DDoS-TCP_Flood,6,64,19.87298134,1827,174,174,174,0,174,83064042.11,0
DoS-SYN_Flood,6.33,64,1468011.744,576.72,54,57.6,54.62681857,1.352783822,55.08,82980873.05,1.916979678
DDoS-RSTFINFlood,6,64,7.713076217,567,54,54,54,0,54,83348457.16,0
DDoS-UDP_Flood,16.89,63.78,5436.582196,526.2,50,51.2,50.10515251,0.3322056213,50.08,83101801.56,0.4704151971
DDoS-SynonymousIP_Flood,6,64,1.58416851,567,54,54,54,0,54,83361995.37,0
DoS-UDP_Flood,17,64,40.53480304,1911,182,182,182,0,182,83006941.77,0
DDoS-RSTFINFlood,6,64,645277.5385,567,54,54,54,0,54,83348289.48,0
DDoS-TCP_Flood,6,64,224.0606854,567,54,54,54,0,54,83034007.53,0
DDoS-UDP_Flood,16.83,63.36,13345.26822,526.2,50,51.2,50.08798825,0.3099246251,50.1,83106170.48,0.4390564854
DDoS-RSTFINFlood,6,64,3.029338678,567,54,54,54,0,54,83348144.08,0
DDoS-UDP_Fragmentation,16.38,61.99,821.4517649,9472.44,331.38,1502.48,930.7018493,551.2544194,891.5,83366404.84,779.7232136
DDoS-ICMP_Flood,1,64,47.02563815,441,42,42,42,0,42,83124157.94,0
DDoS-RSTFINFlood,6,64,13.22046378,567,54,54,54,0,54,83345006.17,0
DDoS-SynonymousIP_Flood,6.11,65.91,1.351887142,579.32,54,66.32,54.73498639,2.91216997,55.76,83361206.05,4.131751309
DDoS-UDP_Flood,17,64,14934.59483,525,50,50,50,0,50,83098362.61,0
DDoS-ICMP_Flood,0.99,63.36,7.08334173,442.62,42,43.62,42.10401522,0.3955494209,42.18,83124816.09,0.5607537348
DDoS-RSTFINFlood,6,64,3.133306789,567,54,54,54,0,54,83340873.57,0
Mirai-greeth_flood,46.7,64,2.484621594,6189.82,565.82,592,590.4381539,6.188361187,588.26,83693858.23,8.779971532
DDoS-UDP_Flood,17,64,11265.6671,525,50,50,50,0,50,83107439.48,0
Mirai-greeth_flood,47,64,2.224279588,6216,592,592,592,0,592,83693967.46,0
